"Code","Country","State","Zip/Post Code","Rate","Zip/Post is Range","Range From","Range To","default"
"US-AL","US","AL","*","4","","","",""
"US-AK","US","AK","*","0","","","",""
"US-AZ","US","AZ","*","6.6","","","",""
"US-AR","US","AR","*","6","","","",""
"US-CA","US","CA","*","8.25","","","",""
"US-CO","US","CO","*","2.9","","","",""
"US-CT","US","CT","*","6","","","",""
"US-DE","US","DE","*","0","","","",""
"US-FL","US","FL","*","6","","","",""
"US-GA","US","GA","*","4","","","",""
"US-HI","US","HI","*","4","","","",""
"US-ID","US","ID","*","6","","","",""
"US-IL","US","IL","*","6.25","","","",""
"US-IN","US","IN","*","7","","","",""
"US-IA","US","IA","*","6","","","",""
"US-KS","US","KS","*","6.3","","","",""
"US-KY","US","KY","*","6","","","",""
"US-LA","US","LA","*","4","","","",""
"US-ME","US","ME","*","5","","","",""
"US-MD","US","MD","*","6","","","",""
"US-MA","US","MA","*","6.25","","","",""
"US-MI","US","MI","*","6","","","",""
"US-MN","US","MN","*","6.875","","","",""
"US-MS","US","MS","*","7","","","",""
"US-MO","US","MO","*","4.225","","","",""
"US-MT","US","MT","*","0","","","",""
"US-NE","US","NE","*","5.5","","","",""
"US-NV","US","NV","*","6.85","","","",""
"US-NH","US","NH","*","0","","","",""
"US-NJ","US","NJ","*","7","","","",""
"US-NM","US","NM","*","5.125","","","",""
"US-NY","US","NY","*","4","","","",""
"US-NC","US","NC","*","5.75","","","",""
"US-ND","US","ND","*","5","","","",""
"US-OH","US","OH","*","5.5","","","",""
"US-OK","US","OK","*","4.5","","","",""
"US-OR","US","OR","*","0","","","",""
"US-PA","US","PA","*","6","","","",""
"US-RI","US","RI","*","7","","","",""
"US-SC","US","SC","*","6","","","",""
"US-SD","US","SD","*","4","","","",""
"US-TN","US","TN","*","7","","","",""
"US-TX","US","TX","*","6.25","","","",""
"US-UT","US","UT","*","4.7","","","",""
"US-VT","US","VT","*","6","","","",""
"US-VA","US","VA","*","4","","","",""
"US-WA","US","WA","*","6.5","","","",""
"US-WV","US","WV","*","6","","","",""
"US-WI","US","WI","*","5","","","",""
"US-WY","US","WY","*","4","","","",""
